source,target,type,weight
MrFlavioSouza,ecb,tweet,1.0
CricTelegraph,ecb,tweet,1.0
HoistForex,ecb,tweet,1.0
ProfErdalYalcin,ecb,tweet,1.0
Monex_USA,ecb,tweet,1.0
TaylorGurney7,ecb,tweet,1.0
LiaMacro,ecb,tweet,1.0
Schuldensuehner,ecb,tweet,1.0
ParaGurmesi,ecb,tweet,1.0
nicholastreece,ecb,tweet,1.0
optionurol,ecb,tweet,1.0
VitoCapital,ecb,tweet,1.0
1MrPapi,ecb,tweet,1.0
dontfearstocks,ecb,tweet,1.0
ikonmenkulnews,ecb,tweet,1.0
GGeorgievx,ecb,tweet,1.0
KitcoNewsNOW,ecb,tweet,1.0
RiskDotNet,ecb,tweet,1.0
russian_yi,ecb,tweet,1.0
Crypto__Head,ecb,tweet,1.0
KitcoNewsNOW,KitcoNewsNOW,mention,0.5
KayGee1247,ecb,tweet,1.0
KayGee1247,ecb,mention,0.5
LimayeMhatre,ecb,tweet,1.0
LimayeMhatre,Eoin16,mention,0.5
gg2net,ecb,tweet,1.0
gg2net,benstokes38,mention,0.5
sevketsayilgan1,ecb,tweet,1.0
Smartinvestor00,ecb,tweet,1.0
ArgaamPlus,ecb,tweet,1.0
agorascripts,ecb,tweet,1.0
FXstreetUpdate,ecb,tweet,1.0
PedramBabaei,ecb,tweet,1.0
vdBroeke1,ecb,tweet,1.0
vdBroeke1,Schuldensuehner,mention,0.5
newsoneplace,ecb,tweet,1.0
IntuitiveInves3,ecb,tweet,1.0
CharDeFiAll,ecb,tweet,1.0
Benzinga_Italia,ecb,tweet,1.0
alan_kooper,ecb,tweet,1.0
albforextr,ecb,tweet,1.0
sportstarweb,ecb,tweet,1.0
JudhaJohonan,ecb,tweet,1.0
JudhaJohonan,Eoin16,mention,0.5
m4r7ino,ecb,tweet,1.0
ezints,ecb,tweet,1.0
kurzycz,ecb,tweet,1.0
TMReserve,ecb,tweet,1.0
XJMejid,ecb,tweet,1.0
XJMejid,Reuters,mention,0.5
OneCricketApp,Eoin16,mention,0.5
AGustavocano,ecb,tweet,1.0
NickWalterson,ecb,tweet,1.0
DXJournal,ecb,tweet,1.0
bijl_saskia,ecb,tweet,1.0
bijl_saskia,BetuweWillem,mention,0.5
bijl_saskia,marconogiets,mention,0.5
bijl_saskia,Kariningroen,mention,0.5
bijl_saskia,lientje1967,mention,0.5
alpepinnazzo,ecb,tweet,1.0
L4UR3N7,ecb,tweet,1.0
L4UR3N7,Schuldensuehner,mention,0.5
TheNewGekko,ecb,tweet,1.0
TheNewGekko,LiveSquawk,mention,0.5
_ttk100_,ecb,tweet,1.0
sdmzergga,ecb,tweet,1.0
sdmzergga,NadiaCalvino,mention,0.5
FXstreetReports,KennyPolcari,mention,0.5
sevdailycrypto,ecb,tweet,1.0
ViniSi310,ecb,tweet,1.0
IDoinne,ecb,tweet,1.0
EasternEye,ecb,tweet,1.0
EasternEye,benstokes38,mention,0.5
ChrisSmilas,ecb,tweet,1.0
resident2d,ecb,tweet,1.0
apara_tv,ecb,tweet,1.0
Capital_Hungry,ecb,tweet,1.0
ChangretTrade,ecb,tweet,1.0
KayeBasil,ecb,tweet,1.0
KayeBasil,BloombergUK,mention,0.5
Meteo1970,ecb,tweet,1.0
KeisMarkets,ecb,tweet,1.0
CamilleIrens,ecb,tweet,1.0
aanpakkuh,AndreasSteno,mention,0.5
europanu,ecb,tweet,1.0
zew_en,ecb,tweet,1.0
zew_en,StrubeStiftung,mention,0.5
coinpanda_io,ecb,tweet,1.0
coinpanda_io,LynAldenContact,mention,0.5
JPodhorsky,ecb,tweet,1.0
indiatvnews,ecb,tweet,1.0
FXStreetNews,HareshMenghani,mention,0.5
acemaxx,ecb,tweet,1.0
acemaxx,AdamPosen,mention,0.5
acemaxx,PIIE,mention,0.5
acemaxx,flacqua,mention,0.5
acemaxx,BloombergTV,mention,0.5
carstenbrzeski,ecb,tweet,1.0
UiTV_Connect,ecb,tweet,1.0
jsblokland,ecb,tweet,1.0
ErikaTaylor04,ecb,tweet,1.0
monexeurope,ecb,tweet,1.0
FXstreetReports,IpekOzkardeskay,mention,0.5
Sky247_hindi,ecb,tweet,1.0
MrPawanKMishra,ecb,tweet,1.0
MrPawanKMishra,Europarl_EN,mention,0.5
EforFinance,ecb,tweet,1.0
IpekOzkardeskay,ecb,tweet,1.0
_FinancialWorld,ecb,tweet,1.0
_FinancialWorld,markets,mention,0.5
EburyPL,ecb,tweet,1.0
EburyPL,forsalpl,mention,0.5
Silvia_Amaro,ecb,tweet,1.0
BcnFox,ecb,tweet,1.0
Ole_S_Hansen,ecb,tweet,1.0
Ole_S_Hansen,saxobank,mention,0.5
forexflowlive,ecb,tweet,1.0
_FinancialWorld,Yahoo,mention,0.5
betaddanews,ecb,tweet,1.0
kun_purich,ecb,tweet,1.0
bjoernoliver,ecb,tweet,1.0
bjoernoliver,MichaelDPhilli6,mention,0.5
bjoernoliver,EU_Eurostat,mention,0.5
BaaghiTV,ecb,tweet,1.0
BaaghiTV,pmln_org,mention,0.5
BaaghiTV,PTIofficial,mention,0.5
BaaghiTV,Asad_Umar,mention,0.5
BaaghiTV,Marriyum_A,mention,0.5
CelaPardo,ecb,tweet,1.0
CelaPardo,zerohedge,mention,0.5
jhaagandharv,ecb,tweet,1.0
capitalcomid,ecb,tweet,1.0
SchuermannChris,ecb,tweet,1.0
CHenke_IG,ecb,tweet,1.0
CAPITALRADIOB,ecb,tweet,1.0
peterrichardbro,ecb,tweet,1.0
YanniKouts,ecb,tweet,1.0
YanniKouts,Reuters,mention,0.5
CityIndex,ecb,tweet,1.0
CityIndexSG,ecb,tweet,1.0
CityIndexAus,ecb,tweet,1.0
cLeverEdge,ecb,tweet,1.0
FOREXcom,ecb,tweet,1.0
FOREXMiddleEast,ecb,tweet,1.0
DicconWard,ecb,tweet,1.0
DicconWard,Eoin16,mention,0.5
CultCricket,ecb,tweet,1.0
kisacahst,ecb,tweet,1.0
VivaPost,ecb,tweet,1.0
economicthinker,ecb,tweet,1.0
economicthinker,Schuldensuehner,mention,0.5
GuckTristan,ecb,tweet,1.0
Nancy38961417,ecb,tweet,1.0
VJadhav24,ecb,tweet,1.0
VJadhav24,ECB_cricket,mention,0.5
VJadhav24,Eoin16,mention,0.5
FaheemA1717,ecb,tweet,1.0
FaheemA1717,Eoin16,mention,0.5
FaheemA1717,ECB_cricket,mention,0.5
InvGurInd,ecb,tweet,1.0
kaba561,ecb,tweet,1.0
Faizan43619165,ecb,tweet,1.0
Faizan43619165,Eoin16,mention,0.5
Hakimi10144938,ecb,tweet,1.0
Hakimi10144938,TheCryptoLark,mention,0.5
crazy4kaushik,ecb,tweet,1.0
mauditaseja,ecb,tweet,1.0
mauditaseja,ECBahia,mention,0.5
Just_Numbers88,ecb,tweet,1.0
crushthemarket,ecb,tweet,1.0
Gaetano_BCE3,ecb,tweet,1.0
FXStreetNews,fx_ross,mention,0.5
MarcOspald,ecb,tweet,1.0
MarcOspald,lagard,mention,0.5
SSabuj1,ecb,tweet,1.0
_BrianArndt,ecb,tweet,1.0
