username,language,isInfluencer,profession,isBank,isViral,hashtags
BitCheckerLTD,en,0,unknown,0,0,"['Cryptotrends', 'Bitcoin', 'BoE']"
nayibbukele,0,0,0,0,0,0
Afiris,es,0,unknown,0,0,"['autónomos', 'BOE']"
BPULtd,en,0,unknown,0,0,"['bankofengland', 'money', 'September', 'deadline']"
Salamanca_Gob,es,0,unknown,0,0,"['Buenosdías', 'FelizMartes', 'BOE']"
SeicoAsesores,es,0,unknown,0,0,['BOE']
actualidadlegal,es,0,unknown,0,0,['BOE']
whitegoldsword,en,0,unknown,0,0,"['SomersetHouse', 'DiocletianWindow', 'BankOfEngland', 'RichmondBridge', 'JamesPaine']"
fxstreetnewsid,id,0,unknown,0,0,"['EURGBP', 'Brexit', 'ECB', 'BOE', 'Crosses']"
FXStreetNews,en,0,unknown,0,0,"['EURGBP', 'Brexit', 'ECB', 'BOE', 'Crosses']"
fxstreetnewsid,id,0,unknown,0,0,"['GBPUSD', 'Brexit', 'BOE', 'Fed', 'RiskAppetite']"
FXStreetNews,en,0,unknown,0,0,"['GBPUSD', 'Brexit', 'BOE', 'Fed', 'RiskAppetite']"
Joinedforthis99,en,0,unknown,0,0,"['bankofengland', 'strike', 'summerofdiscontent']"
DeanTweets_,en,0,politics,0,0,"['ukinflation', 'BorisJohnson', 'andrewbailey', 'bankofengland', 'government', 'PoliticsLive', 'ukpolitics', 'CostOfLivingCrisis', 'TaxTheRich', 'PoorPeoplesCampaign', 'helpinghand']"
Greg5thTrad,de,0,unknown,0,0,"['BoJ', 'BoE', 'ECB', 'FED']"
Evdall,es,0,unknown,0,0,"['BOE', 'PadresNOM']"
elmundoes,0,0,0,0,0,0
ethet09,tl,0,unknown,0,0,"['presentationisreal', 'BOE']"
BRAVENEWEUROPE1,en,0,politics,0,0,"['Britain', 'Economics', 'strikes', 'ClassWar', 'Tories', 'BankofEngland', 'inequality']"
booa2ch,de,0,unknown,0,0,"['BoE', 'GBP', 'Fx']"
InformateEmpleo,es,0,unknown,0,0,"['opositores', 'opositoras', 'BOE', 'Auxiliar', 'Estado']"
abcdesevilla,es,0,unknown,0,0,"['tabaco', 'España', 'BOE']"
dishonestmoney,en,0,finance expert,0,0,['BoE']
tradingfreaks,de,0,unknown,0,0,"['Zentralbanken', 'Inflation', 'Fed', 'EZB', 'ECB', 'BoE']"
CanalesTaibilla,es,0,unknown,0,0,"['BOE', 'MCT']"
863_jayy1,en,0,curious,0,0,"['BOE', 'OnAMission']"
1humana1,en,0,finance expert,0,0,"['uk', 'economy', 'CREDIT', 'debt', 'boe']"
RMTunion,0,0,0,0,0,0
RealVision,en,0,finance expert,0,0,"['ECB', 'FED', 'BoE', 'inflation']"
bursametrica,es,0,unknown,0,0,"['PerspectivaBursametrica', 'BancoCentral', 'Banxico', 'FED', 'BCE', 'BoE', 'BoJ', 'tasadereferencia', 'Bursametrica', 'Bursanalisis', 'inflación']"
noticiasfx,es,0,unknown,0,0,"['GBPUSD', 'RiskAppetite', 'Fed', 'BOE', 'Currencies']"
albforextr,tr,0,unknown,0,0,"['Enflasyon', 'Fed', 'Boe', 'EURUSD', 'ECB']"
cescyl,es,0,unknown,0,0,"['BOE', 'Agricultura', 'Variedades', 'Comerciales']"
UGTPostalAnd,es,0,unknown,0,0,['boe']
UGT_SPANDALUCIA,0,0,0,0,0,0
ATIRADOBLANCO,0,0,0,0,0,0
UGT_Andalucia,0,0,0,0,0,0
ugtpostal,0,0,0,0,0,0
UGT_SP,0,0,0,0,0,0
politietsorost,no,0,unknown,0,0,['Bø']
TurboCBDC,en,0,unknown,0,0,"['ECB', 'FED', 'BoE', 'BoJ']"
FXStreetnewsae,ar,0,unknown,0,0,"['GBPUSD', 'RiskAppetite', 'Fed', 'BOE', 'Currencies']"
fxstreetnewsid,id,0,analyst,0,0,"['GBPUSD', 'RiskAppetite', 'Fed', 'BOE', 'Currencies']"
SiatSindicato,es,0,unknown,0,0,"['BOE', 'oposiciones', 'empleopublico']"
fxstreetcn,en,0,unknown,0,0,"['GBPUSD', 'RiskAppetite', 'Fed', 'BOE', 'Currencies']"
FXStreetNews,en,0,unknown,0,0,"['GBPUSD', 'RiskAppetite', 'Fed', 'BOE', 'Currencies']"
sevdailycrypto,tr,0,unknown,0,0,"['Bitcoin', 'FED', 'ECB', 'BOE', 'BIS']"
nunn_hayward,en,0,finance expert,0,0,"['economy', 'papernotes', 'BankofEngland']"
