username,language,isInfluencer,profession,isBank,isViral,hashtags
TechToroTH,th,0,unknown,0,0,"['Techtoro', 'มากกว่าสินทรัพย์คือความรู้', 'FED', 'ECB', 'JeromPowell', 'ChristineLagarde', 'ดอกเบี้ย', 'เงินเฟ้อ', 'เศรษฐกิจ']"
maxjcm,en,0,finance expert,0,0,"['inflation', 'centralbanks', 'FED', 'ECB']"
markets,0,0,0,0,0,0
ecb,en,0,finance expert,0,0,
ecb,en,0,unknown,0,0,
FXStreetnewsae,ar,0,unknown,0,0,"['Gold', 'XAUUSD', 'ECB', 'Banks', 'Inflation']"
windsorbrokers,en,0,finance expert,0,0,"['CrudeOil', 'ECB', 'EurozoneEconomy', 'NaturalGasSupply', 'WarInUkraine', 'WindsorBrokers']"
Berenberg_Econ,en,0,unknown,0,0,"['economics', 'macro', 'europeaneconomics', 'monetarypolicy', 'ecb']"
1Holland,nl,0,unknown,0,0,"['EU', 'ECB']"
jpaternotte,0,0,0,0,0,0
weareinvestiri,en,0,unknown,0,0,"['ECB', 'EURUSD', 'XAUUSD', 'GOLD']"
RoyPero9,en,0,unknown,0,0,['ECB']
mbentvelsen,nl,0,unknown,0,0,"['economie', 'EU', 'ECB']"
Ada4goodP,de,0,unknown,0,0,"['FED', 'ECB']"
RoyPero9,no,0,unknown,0,0,['ECB']
PRingholm,0,0,0,0,0,0
valley_llama,0,0,0,0,0,0
Tickmill,en,0,unknown,0,0,['ECB']
PatrickKrizan,en,0,finance expert,0,0,"['US', 'Eurozone', 'ECB', 'inflation', 'recession']"
zackhoward,en,0,unknown,0,0,['ECB']
fxstreetcn,en,0,unknown,0,0,"['Gold', 'XAUUSD', 'ECB', 'Banks', 'Inflation']"
fxstreetnewsid,id,0,unknown,0,0,"['Gold', 'XAUUSD', 'ECB', 'Banks', 'Inflation']"
GrahamBishopcom,en,0,unknown,0,0,"['Ukraine', 'EU', 'EUCommission', 'Russia', 'ECB', 'Russian', 'AML']"
FXStreetNews,en,0,unknown,0,0,"['Gold', 'XAUUSD', 'ECB', 'Banks', 'Inflation']"
gbponz,en,0,politics,0,0,"['ECB', 'Nordstream']"
INArteCarloDoss,0,0,0,0,0,0
goldenvesttur,tr,0,unknown,0,0,"['euro', 'ecb']"
P_risks,it,0,unknown,0,0,"['ECB', 'FED', 'BOE', 'glopolitica']"
FugmannMarkus,de,0,unknown,0,0,"['Dax', 'SP500', 'NASDAQ', 'Fed', 'EZB', 'ECB', 'inflation', 'Rezession', 'Zinsen']"
jtbanka_sk,sk,0,unknown,0,0,"['rannyprehlad', 'akcie', 'wallstreet', 'ropa', 'OPEC', 'ECB', 'financnetrhy', 'komodity', 'devizy', 'dolar', 'euro', 'dlhopisy', 'zlato', 'ekonomika']"
gunnar_beck,en,0,unknown,0,0,['ECB']
moseisley,nl,0,unknown,0,0,"['ECB', 'wanbeleid']"
mdewachter2,0,0,0,0,0,0
10WallStreet,en,0,unknown,0,0,"['Fed', 'QE', 'MoneyPrinting', 'Inflation', 'nytimes', 'wsj', 'cnbc', 'cnn', 'wallstreet', 'ecb', 'eu', 'politico']"
seyraud,en,0,finance expert,0,0,"['Circle', 'DEFI', 'Crypto', 'ECB']"
pbucquet,0,0,0,0,0,0
Chris_Skinner,0,0,0,0,0,0
jblefevre60,0,0,0,0,0,0
sbmeunier,0,0,0,0,0,0
kgv10000,en,0,unknown,0,0,"['ECB', 'inflation']"
DaveHcontrarian,0,0,0,0,0,0
BirdingBrussels,en,0,critic,0,0,['ECB']
AuroreLalucq,0,0,0,0,0,0
AlexandreCibrao,en,0,politics,0,0,"['economy', 'inflation', 'currency', 'politics', 'ECB', 'FED']"
TradewithTR,en,0,unknown,0,0,"['FXTrading', 'Trading', 'Investing', 'Fed', 'PCE', 'Inflation', 'ECB']"
ljpereza,en,0,unknown,0,0,"['inflation', 'qe', 'cpi', 'ecb', 'Bitcoin']"
HedefCapital,en,0,unknown,0,0,"['ecb', 'eurusd', 'eurgbp', 'eurtry', 'interest']"
HedefCapitaluk,en,0,unknown,0,0,"['ecb', 'eurusd', 'eurgbp', 'eurtry', 'interest']"
