source,target,type,weight
bankofengland,Ashwint12,mention,0.5
bankofengland,jamestoon09,mention,0.5
bankofengland,bankofengland,mention,0.5
bankofengland,danieljokojohn,mention,0.5
bankofengland,NationalGallery,mention,0.5
bankofengland,LHSummers,mention,0.5
bankofengland,HarvardIOP,mention,0.5
bankofengland,WorldBank,mention,0.5
bankofengland,IMFNews,mention,0.5
bankofengland,MissMcClafferty,mention,0.5
bankofengland,TraceyEmin,mention,0.5
bankofengland,BOWdjMAN,mention,0.5
bankofengland,__Interfaith__,mention,0.5
bankofengland,BigLebers,mention,0.5
bankofengland,CitizenShah,mention,0.5
bankofengland,whyndham,mention,0.5
bankofengland,ASHUTOSHCHHATR1,mention,0.5
bankofengland,DanFarnworth,mention,0.5
bankofengland,pinkyshart,mention,0.5
bankofengland,judte65,mention,0.5
bankofengland,emilyy_m,mention,0.5
bankofengland,KuRekciOguz,mention,0.5
bankofengland,Fozziebear17,mention,0.5
bankofengland,Sibos,mention,0.5
bankofengland,Caro18738745,mention,0.5
bankofengland,130152Natasja,mention,0.5
